sensor_id,x,y,z
741,-34.975143,390.8382,-276.5
742,-34.975143,390.8382,-269.5
743,-34.975143,390.8382,-262.5
744,-34.975143,390.8382,-255.5
745,-34.975143,390.8382,-248.5
746,-34.975143,390.8382,-241.5
747,-34.975143,390.8382,-234.5
748,-34.975143,390.8382,-227.5
749,-34.975143,390.8382,-220.5
750,-34.975143,390.8382,-213.5
751,-34.975143,390.8382,-206.5
752,-34.975143,390.8382,-199.5
753,-34.975143,390.8382,-192.5
754,-34.975143,390.8382,-185.5
755,-34.975143,390.8382,-178.5
756,-34.975143,390.8382,-171.5
757,-34.975143,390.8382,-164.5
758,-34.975143,390.8382,-157.5
759,-34.975143,390.8382,-150.5
760,-34.975143,390.8382,-143.5
761,-34.975143,390.8382,-136.5
762,-34.975143,390.8382,-129.5
763,-34.975143,390.8382,-122.5
764,-34.975143,390.8382,-115.5
765,-34.975143,390.8382,-108.5
766,-34.975143,390.8382,-101.5
767,-34.975143,390.8382,-94.5
768,-34.975143,390.8382,-87.5
769,-34.975143,390.8382,-80.5
770,-34.975143,390.8382,-73.5
771,-34.975143,390.8382,-66.5
772,-34.975143,390.8382,-59.5
773,-34.975143,390.8382,-52.5
774,-34.975143,390.8382,-45.5
775,-34.975143,390.8382,-38.5
776,-34.975143,390.8382,-31.5
777,-34.975143,390.8382,-24.5
778,-34.975143,390.8382,-17.5
779,-34.975143,390.8382,-10.5
780,-34.975143,390.8382,-3.5
781,-34.975143,390.8382,3.5
782,-34.975143,390.8382,10.5
783,-34.975143,390.8382,17.5
784,-34.975143,390.8382,24.5
785,-34.975143,390.8382,31.5
786,-34.975143,390.8382,38.5
787,-34.975143,390.8382,45.5
788,-34.975143,390.8382,52.5
789,-34.975143,390.8382,59.5
790,-34.975143,390.8382,66.5
791,-34.975143,390.8382,73.5
792,-34.975143,390.8382,80.5
793,-34.975143,390.8382,87.5
794,-34.975143,390.8382,94.5
795,-34.975143,390.8382,101.5
796,-34.975143,390.8382,108.5
797,-34.975143,390.8382,115.5
798,-34.975143,390.8382,122.5
799,-34.975143,390.8382,129.5
800,-34.975143,390.8382,136.5
801,-34.975143,390.8382,143.5
